episode,reward,tasks_completed,efficiency,energy_used,completion_rate
1,25.62823462486267,0,0,0,0
2,25.41781520843506,0,0,0,0
3,25.076825618743896,0,0,0,0
4,25.65735912322998,0,0,0,0
5,26.343449115753174,0,0,0,0
6,25.97310495376587,0,0,0,0
7,25.289442777633667,0,0,0,0
8,25.298439264297485,0,0,0,0
9,25.077534914016724,0,0,0,0
10,25.373937129974365,0,0,0,0
11,25.708571195602417,0,0,0,0
12,25.028303861618042,0,0,0,0
13,25.048943042755127,0,0,0,0
14,25.08717131614685,0,0,0,0
15,25.031635999679565,0,0,0,0
16,25.32010531425476,0,0,0,0
17,25.425342082977295,0,0,0,0
18,25.31021475791931,0,0,0,0
19,25.51720428466797,0,0,0,0
20,25.753859043121338,0,0,0,0
21,25.843130588531494,0,0,0,0
22,25.56037175655365,0,0,0,0
23,24.868347883224487,0,0,0,0
24,24.647467136383057,0,0,0,0
25,25.273208379745483,0,0,0,0
26,25.67963933944702,0,0,0,0
27,25.57472252845764,0,0,0,0
28,26.219341278076172,0,0,0,0
29,25.643247604370117,0,0,0,0
30,24.750502824783325,0,0,0,0
31,25.18217633292079,0,0,0,0
32,25.194337844848633,0,0,0,0
33,25.884766101837158,0,0,0,0
34,25.13949418067932,0,0,0,0
35,25.007598876953125,0,0,0,0
36,25.67065954208374,0,0,0,0
37,25.07929515838623,0,0,0,0
38,25.64453649520874,0,0,0,0
39,25.29451012611389,0,0,0,0
40,24.51734048128128,0,0,0,0
41,25.387338161468506,0,0,0,0
42,25.38162088394165,0,0,0,0
43,25.435640573501587,0,0,0,0
44,25.074078142642975,0,0,0,0
45,25.88514256477356,0,0,0,0
46,24.907419443130493,0,0,0,0
47,25.79169750213623,0,0,0,0
48,25.57240056991577,0,0,0,0
49,25.990572929382324,0,0,0,0
50,25.293140172958374,0,0,0,0
51,24.930012941360474,0,0,0,0
52,25.572793006896973,0,0,0,0
53,25.138661861419678,0,0,0,0
54,25.64839196205139,0,0,0,0
55,25.572280406951904,0,0,0,0
56,25.80583643913269,0,0,0,0
57,25.665295124053955,0,0,0,0
58,25.442663073539734,0,0,0,0
59,25.226446509361267,0,0,0,0
60,25.252564668655396,0,0,0,0
61,25.96400737762451,0,0,0,0
62,25.8546359539032,0,0,0,0
63,26.042057275772095,0,0,0,0
64,24.518237810581923,0,0,0,0
65,24.267213761806488,0,0,0,0
66,24.847644090652466,0,0,0,0
67,24.907032012939453,0,0,0,0
68,25.8070809841156,0,0,0,0
69,25.11963129043579,0,0,0,0
70,25.156121730804443,0,0,0,0
71,25.5592679977417,0,0,0,0
72,25.773239731788635,0,0,0,0
73,25.806140422821045,0,0,0,0
74,25.766640782356262,0,0,0,0
75,25.628366947174072,0,0,0,0
76,25.296213388442993,0,0,0,0
77,25.782710552215576,0,0,0,0
78,24.457372426986694,0,0,0,0
79,25.13032364845276,0,0,0,0
80,26.137682914733887,0,0,0,0
81,25.66453528404236,0,0,0,0
82,24.97876501083374,0,0,0,0
83,24.753679275512695,0,0,0,0
84,25.860190391540527,0,0,0,0
85,25.04159116744995,0,0,0,0
86,24.849566221237183,0,0,0,0
87,25.320734560489655,0,0,0,0
88,25.578781843185425,0,0,0,0
89,24.667843341827393,0,0,0,0
90,25.18183183670044,0,0,0,0
91,25.73544716835022,0,0,0,0
92,25.11000746488571,0,0,0,0
93,25.210529327392578,0,0,0,0
94,24.624414443969727,0,0,0,0
95,24.878508925437927,0,0,0,0
96,25.90195941925049,0,0,0,0
97,25.69185161590576,0,0,0,0
98,25.212711334228516,0,0,0,0
99,25.12036371231079,0,0,0,0
100,25.0509090423584,0,0,0,0
101,25.84219980239868,0,0,0,0
102,25.090726852416992,0,0,0,0
103,25.04295825958252,0,0,0,0
104,25.66693615913391,0,0,0,0
105,24.52583110332489,0,0,0,0
106,25.649518489837646,0,0,0,0
107,25.70918893814087,0,0,0,0
108,25.003280878067017,0,0,0,0
109,25.612493991851807,0,0,0,0
110,24.891141891479492,0,0,0,0
111,25.311105966567993,0,0,0,0
112,23.926424205303192,0,0,0,0
113,25.55382776260376,0,0,0,0
114,25.62952733039856,0,0,0,0
115,24.69444441795349,0,0,0,0
